title,rating,review_count,attraction_name,region,tour_count
Half Day Tour Giza Pyramids &Great Sphinx with Private Tour Guide,4.9,1441.0,Giza Pyramids,Middle_East_Africa,5708
"Top ViP Private Tour Giza Pyramids, Sphinx,Inside Pyramid",4.8,2271.0,Giza Pyramids,Middle_East_Africa,5708
"Private guided tour to Giza Pyramids, and Great Sphinx",4.9,1613.0,Giza Pyramids,Middle_East_Africa,5708
"Cairo 8 Hour Private Tour of Pyramids, Egyptian Museum and Bazaar",4.9,2856.0,Giza Pyramids,Middle_East_Africa,5708
"All inclusive Giza Pyramids,Sphinx,lunch,Camel,insid 3rd pyramid",5.0,351.0,Giza Pyramids,Middle_East_Africa,5708
"Private tour to Giza Pyramids,Sphinx,Egyptian Museum with Local Lunch",4.9,1480.0,Giza Pyramids,Middle_East_Africa,5708
"8 hours Cairo day Tour to Giza Pyramids, Memphis City, Sakkara and Dahshur",4.7,393.0,Giza Pyramids,Middle_East_Africa,5708
"Private Tour To Giza Pyramids,Sphinx With Entry Inside The Great Pyramid",4.5,84.0,Giza Pyramids,Middle_East_Africa,5708
"Private Giza pyramids,Sphinx,Lunch,Camel & inside the pyramid",5.0,492.0,Giza Pyramids,Middle_East_Africa,5708
"Grand Egyptian Museum, Giza Pyramids and Great Sphinx Tour",4.9,52.0,Giza Pyramids,Middle_East_Africa,5708
Burj Khalifa At The Top ticket with Optional Premium Access,4.2,627.0,Burj Khalifa,Middle_East_Africa,480
The Burj Khalifa At The Top Observation Deck Admission Ticket,3.7,421.0,Burj Khalifa,Middle_East_Africa,480
"Premium Access to Burj Khalifa Ticket, The Lounge 152 ,153 & 154",4.4,231.0,Burj Khalifa,Middle_East_Africa,480
Burj Khalifa At the Top & Dubai Aquarium Combo Entrance Tickets,4.0,235.0,Burj Khalifa,Middle_East_Africa,480
Burj Khalifa: At The Top (Levels 124 and 125) Admission Ticket,3.8,177.0,Burj Khalifa,Middle_East_Africa,480
Burj Khalifa At the Top Observation Deck Admission Ticket Dubai,3.9,238.0,Burj Khalifa,Middle_East_Africa,480
