title,rating,review_count,attraction_name,region,tour_count,venue_type,venue_confidence
Half Day Tour Giza Pyramids &Great Sphinx with Private Tour Guide,4.9,1441.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"Top ViP Private Tour Giza Pyramids, Sphinx,Inside Pyramid",4.8,2271.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"Private guided tour to Giza Pyramids, and Great Sphinx",4.9,1613.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"Cairo 8 Hour Private Tour of Pyramids, Egyptian Museum and Bazaar",4.9,2856.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"All inclusive Giza Pyramids,Sphinx,lunch,Camel,insid 3rd pyramid",5.0,351.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"Private tour to Giza Pyramids,Sphinx,Egyptian Museum with Local Lunch",4.9,1480.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"8 hours Cairo day Tour to Giza Pyramids, Memphis City, Sakkara and Dahshur",4.7,393.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"Private Tour To Giza Pyramids,Sphinx With Entry Inside The Great Pyramid",4.5,84.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"Private Giza pyramids,Sphinx,Lunch,Camel & inside the pyramid",5.0,492.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
"Grand Egyptian Museum, Giza Pyramids and Great Sphinx Tour",4.9,52.0,Giza Pyramids,Middle_East_Africa,5708,outdoor,0.8
Burj Khalifa At The Top ticket with Optional Premium Access,4.2,627.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
The Burj Khalifa At The Top Observation Deck Admission Ticket,3.7,421.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
"Premium Access to Burj Khalifa Ticket, The Lounge 152 ,153 & 154",4.4,231.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
Burj Khalifa At the Top & Dubai Aquarium Combo Entrance Tickets,4.0,235.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
Burj Khalifa: At The Top (Levels 124 and 125) Admission Ticket,3.8,177.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
Burj Khalifa At the Top Observation Deck Admission Ticket Dubai,3.9,238.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
Dubai Top 15 Must-see Attractions with Burj Khalifa and Souks,4.6,178.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
Dubai Full Day Tour with Entry Ticket to Burj Khalifa at the Top,3.9,909.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
"Half Day Dubai City Tour of Frame, Future Museum, & Blue Mosque",5.0,33.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
Full Day Dubai City Tour with At the Top Burj Khalifa Ticket,4.8,453.0,Burj Khalifa,Middle_East_Africa,480,indoor,0.8
"Majorelle Garden,St Laurent & Berber Museum, Round-Trip & Tickets",4.3,72.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Marrakech Majorel garden entry ticket,3.1,24.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Marrakech: Private Guided Half-Day City Tour,4.8,1180.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Highlights of Marrakech: Private Half-Day City Tour,4.9,459.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
"Majorelle Garden, YSL & Berber Museum: Exciting Round-Trip Tour",4.2,9.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Marrakech City Highlights Half Day Private Tour,5.0,15.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
"Majorelle Garden, St Laurent and Berber Museum Round Trip Ticket",4.5,33.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Private Tour in Marrakech By Tuk Tuk,4.8,107.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Marrakech City Tour: Private Custom-Made,4.7,580.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Marrakech City Highlights Half-Day Tour,4.3,311.0,Majorelle Garden (Jardin Majorelle),Middle_East_Africa,269,outdoor,0.8
Private Day Tour to Abu Simbel Temples from Aswan,4.5,477.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
Full Day tour to Abu simbel temples from aswan,4.6,273.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
Private Tour To Abu Simbel From Aswan By Private Car,4.8,17.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
4-Days Nile Cruise From Aswan To Luxor including Abu Simbel and Hot Air Balloon,4.8,2857.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
Abu Simbel Private Full-Day Tour from Aswan,4.9,101.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
"4-Day 3-Night Nile Cruise from Aswan to Luxor including Abu Simbel, Air Balloon",4.6,602.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
Private Customizable Day Tour To Abu Simbel From Aswan By Private Car,4.4,80.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
4-Day Nile Cruise sails Aswan to Luxor&Abu Simbel.Hot air Balloon,4.7,194.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
From Aswan : share a day tour to Abu Simbel with small group,5.0,11.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
Full Day Tour to Abu Simbel Temples from Aswan,4.6,212.0,Abu Simbel Temples,Middle_East_Africa,1412,mixed,0.8
"Luxor: Valley of Kings, Hatchepsut Temple ,Karnak & Luxor-DayTour",4.9,609.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
Luxor Day Tour: Valley of Kings & Queens & Hatchepsut Temples,4.9,1403.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
"Small group Hurghada to Luxor, Valley of the Kings by Van",4.7,2277.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
4-Days Nile Cruise From Aswan To Luxor including Abu Simbel and Hot Air Balloon,4.8,2857.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
"Luxor Day Tour: Explore Valley of Kings, Queens, Hatshepsut& More",5.0,146.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
Private tour Valley of the Kings and King Tutankhamun Tomb,4.9,61.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
Full Day Tour of Luxor West Bank Temples and Tombs (Private),4.9,656.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
Luxor Private Full-Day Tour: Discover the East and West Banks of the Nile,4.8,530.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
Small Group Excursion to Luxor Valley of the Kings from Hurghada,4.8,589.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
"4-Day 3-Night Nile Cruise from Aswan to Luxor including Abu Simbel, Air Balloon",4.6,602.0,Valley of the Kings,Middle_East_Africa,4493,outdoor,0.8
Dubai Marina Yacht Tour with Optional Breakfast or BBQ,4.8,6969.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
Dubai Marina Dinner Cruise with Live Music & Open Bar,4.6,2637.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
Dubai Marina 1hr Yacht tour with Drinks,4.9,545.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
"90 Minutes Speedboat Tour: Marina, Atlantis, Palm & Burj Al Arab",4.8,1498.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
Half Day Dubai City Sightseeing Tour with Pick up,4.7,413.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
Dinner Cruise in Dubai Marina onboard Alexandra Dhow,4.4,534.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
"Dubai Private Tour of Creek, Souks, Frame, and Burj Khalifa Entry",4.8,85.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
"Half Day Dubai City Tour of Frame, Future Museum, & Blue Mosque",5.0,33.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
Dubai: 1-Hour Ain Boat Cruise,4.9,1505.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
City Sightseeing Dubai Hop-On Hop-Off Bus Tour,4.0,643.0,Dubai Marina,Middle_East_Africa,597,outdoor,0.8
"From Abu Dhabi: Sheikh Zayed Mosque, Royal Palace & Etihad Tower",4.9,566.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
From Dubai: Abu Dhabi Sheikh Zayed Grand Mosque Guided Tour,4.9,1406.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
Abu Dhabi Premium Full-Day Sightseeing Tour From Dubai,4.9,3008.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
"Abu Dhabi tour from Dubai small group with guide, Grand Mosque",4.7,2241.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
Abu Dhabi Premium Full-Day Sightseeing Tour From Dubai,5.0,58.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
Abu Dhabi Half Day City Tour Sharing Experience,4.9,177.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
Abu Dhabi Full-Day Sightseeing Tour from Dubai with Mosque Visit,4.6,2925.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
Premium Half Day Abu Dhabi Grand Mosque Tour from Dubai,4.8,126.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
Abu Dhabi Day Tour From Dubai with Sheikh Zayed Grand Mosque,4.1,877.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
"Abu Dhabi City Tour from Dubai: Qasr Al Watan, Emirates Palace, Mosque",4.9,780.0,Sheikh Zayed Grand Mosque,Middle_East_Africa,853,outdoor,0.8
2-Hour Nile River Dinner Cruise From Cairo,4.3,625.0,Nile River,Middle_East_Africa,617,outdoor,0.8
"Giza pyramids, Sphinx, ATV bike, Lunch,Camel ride, Dinner cruise& shopping tour",5.0,614.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Sunset & Night Open Air Nile Cruise in Cairo & Giza,4.8,131.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Cairo Private Felucca OnThe Nile River With Pickup and Soft Drink,4.7,406.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Dinner cruise in the Nile on a private yacht with the open buffet,4.6,234.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Dinner between clouds by full rotating restaurant,4.9,20.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Nile Dinner Cruise in Cairo with Belly Dancing and Hotel Transfer,4.1,305.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Luxury Felucca on the Nile with Lunch,5.0,881.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Cairo By Big Bus full day From Hurghada (Pyramids-sphinx-Egyptian Museum-Lunch),4.4,452.0,Nile River,Middle_East_Africa,617,outdoor,0.8
1-day trip to Cairo with flight from Hurghada / Makadi Bay / Soma Bay / El Gouna,4.8,1069.0,Nile River,Middle_East_Africa,617,outdoor,0.8
Dubai Marina Yacht Tour with Optional Breakfast or BBQ,4.8,6969.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
Dubai Top 15 Must-see Attractions with Burj Khalifa and Souks,4.6,178.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
"90 Minutes Speedboat Tour: Marina, Atlantis, Palm & Burj Al Arab",4.8,1498.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
"Half Day Dubai City Tour of Frame, Future Museum, & Blue Mosque",5.0,33.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
"Dubai Private Tour of Creek, Souks, Frame, and Burj Khalifa Entry",4.8,85.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
Dubai Old and Modern City Tour with Blue Mosque Visit,5.0,3398.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
Half Day Dubai City Sightseeing Tour with Pick up,4.7,413.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
"Dubai: 30min Jet Ski: Burj Al Arab w Pics, Videos, free Ice Cream",4.9,1701.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
"90 Minutes Speedboat Tour Dubai Marina, Burj Al Arab and Atlantis",4.6,750.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
"Dubai City Tour: Old & New Dubai Abra Ride, Palm Island, Souks",4.8,1344.0,Burj Al-Arab Jumeirah,Middle_East_Africa,965,outdoor,0.3
"Cairo 8 Hour Private Tour of Pyramids, Egyptian Museum and Bazaar",4.9,2856.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
"Private tour to Giza Pyramids,Sphinx,Egyptian Museum with Local Lunch",4.9,1480.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
Egyptian Museum in Cairo: Private Guided Tour,4.8,300.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
Cairo Tour to Egyptian Museum Citadel and Coptic Cairo,4.9,47.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
Luxury Private Egyptian Museum and Khan el Khalili Bazar Tour,4.9,104.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
Private Half Day Tour to the Egyptian Museum,5.0,24.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
Cairo Top Tour Visit Egyptian Museum,5.0,9.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
Visiting Egyptian Museum Citadel and Old market of Khan Khalili,4.6,139.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
"Cairo Luxury Tours to Egyptian Museum,Coptic Cairo & Bazaar",4.8,128.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
"Cairo Private Day Tour: Egyptian Museum, Citadel, and Khan al-Khalil Bazaar",5.0,37.0,Egyptian Museum (Museum of Egyptian Antiquities),Middle_East_Africa,2988,indoor,0.8
Dubai Marina Yacht Tour with Optional Breakfast or BBQ,4.8,6969.0,Palm Jumeirah,Middle_East_Africa,578,outdoor,0.8
