attraction_name,attraction_url,region
Giza Pyramids,https://www.viator.com/Giza-attractions/Giza-Pyramids/d23032-a1506,Middle_East_Africa
Burj Khalifa,https://www.viator.com/Dubai-attractions/Burj-Khalifa/d828-a1622,Middle_East_Africa
Majorelle Garden (Jardin Majorelle),https://www.viator.com/Marrakech-attractions/Majorelle-Garden-Jardin-Majorelle/d5408-a1971,Middle_East_Africa
Abu Simbel Temples,https://www.viator.com/Aswan-attractions/Abu-Simbel-Temples/d796-a1566,Middle_East_Africa
Valley of the Kings,https://www.viator.com/Luxor-attractions/Valley-of-the-Kings/d826-a2141,Middle_East_Africa
Dubai Marina,https://www.viator.com/Dubai-attractions/Dubai-Marina/d828-a18825,Middle_East_Africa
Sheikh Zayed Grand Mosque,https://www.viator.com/Abu-Dhabi-attractions/Sheikh-Zayed-Grand-Mosque/d4474-a9672,Middle_East_Africa
Nile River,https://www.viator.com/Cairo-attractions/Nile-River/d782-a7924,Middle_East_Africa
Burj Al-Arab Jumeirah,https://www.viator.com/Dubai-attractions/Burj-Al-Arab-Jumeirah/d828-a1615,Middle_East_Africa
Egyptian Museum (Museum of Egyptian Antiquities),https://www.viator.com/Cairo-attractions/Egyptian-Museum-Museum-of-Egyptian-Antiquities/d782-a1503,Middle_East_Africa
Palm Jumeirah,https://www.viator.com/Dubai-attractions/Palm-Jumeirah/d828-a18829,Middle_East_Africa
Merzouga,https://www.viator.com/Morocco-Sahara-attractions/Merzouga/d22141-a19774,Middle_East_Africa
Table Mountain and Cableway,https://www.viator.com/Cape-Town-attractions/Table-Mountain-and-Cableway/d318-a2019,Middle_East_Africa
Robben Island,https://www.viator.com/Cape-Town-attractions/Robben-Island/d318-a2018,Middle_East_Africa
Table Mountain National Park,https://www.viator.com/Cape-Town-attractions/Table-Mountain-National-Park/d318-a12746,Middle_East_Africa
Hassan II Mosque,https://www.viator.com/Casablanca-attractions/Hassan-II-Mosque/d4396-a12349,Middle_East_Africa
Karnak Temple,https://www.viator.com/Luxor-attractions/Karnak-Temple/d826-a2138,Middle_East_Africa
Knysna,https://www.viator.com/Garden-Route-attractions/Knysna/d5613-a17257,Middle_East_Africa
Luxor Temple,https://www.viator.com/Luxor-attractions/Luxor-Temple/d826-a2134,Middle_East_Africa
Saqqara (Sakkara),https://www.viator.com/Cairo-attractions/Saqqara-Sakkara/d782-a1493,Middle_East_Africa
Sphinx (Great Sphinx of Giza),https://www.viator.com/Giza-attractions/Sphinx-Great-Sphinx-of-Giza/d23032-a1494,Middle_East_Africa
Philae Temple (Temple of Isis),https://www.viator.com/Aswan-attractions/Philae-Temple-Temple-of-Isis/d796-a1575,Middle_East_Africa
Cape of Good Hope Nature Reserve,https://www.viator.com/Cape-Town-attractions/Cape-of-Good-Hope-Nature-Reserve/d318-a2014,Middle_East_Africa
Dubai Gold Souk,https://www.viator.com/Dubai-attractions/Dubai-Gold-Souk/d828-a1623,Middle_East_Africa
Khan El-Khalili,https://www.viator.com/Cairo-attractions/Khan-El-Khalili/d782-a1508,Middle_East_Africa
Global Village,https://www.viator.com/Dubai-attractions/Global-Village/d828-a19102,Middle_East_Africa
Dubai Mall,https://www.viator.com/Dubai-attractions/Dubai-Mall/d828-a11308,Middle_East_Africa
Boulders Beach,https://www.viator.com/Cape-Town-attractions/Boulders-Beach/d318-a11617,Middle_East_Africa
Temple of Hatshepsut (at Deir el-Bahari),https://www.viator.com/Luxor-attractions/Temple-of-Hatshepsut-at-Deir-el-Bahari/d826-a2137,Middle_East_Africa
Emirates Palace,https://www.viator.com/Abu-Dhabi-attractions/Emirates-Palace/d4474-a9663,Middle_East_Africa
Bo-Kaap,https://www.viator.com/Cape-Town-attractions/Bo-Kaap/d318-a12728,Middle_East_Africa
Colossi of Memnon,https://www.viator.com/Luxor-attractions/Colossi-of-Memnon/d826-a18117,Middle_East_Africa
Dubai Miracle Garden,https://www.viator.com/Dubai-attractions/Dubai-Miracle-Garden/d828-a25221,Middle_East_Africa
Temple of Horus (at Edfu),https://www.viator.com/Luxor-attractions/Temple-of-Horus-at-Edfu/d826-a18119,Middle_East_Africa
Chapman’s Peak Drive,https://www.viator.com/Cape-Town-attractions/Chapmans-Peak-Drive/d318-a17878,Middle_East_Africa
Bahia Palace (Palais Bahia),https://www.viator.com/Marrakech-attractions/Bahia-Palace/d5408-a9749,Middle_East_Africa
Nairobi National Park,https://www.viator.com/Nairobi-attractions/Nairobi-National-Park/d5280-a11268,Middle_East_Africa
Great Pyramid of Giza (Khufu Pyramid),https://www.viator.com/Giza-attractions/Great-Pyramid-of-Giza-Khufu-Pyramid/d23032-a25223,Middle_East_Africa
Souk Madinat Jumeirah,https://www.viator.com/Dubai-attractions/Souk-Madinat-Jumeirah/d828-a18827,Middle_East_Africa
Petra,https://www.viator.com/Amman-attractions/Petra/d5503-a2710,Middle_East_Africa
Sun City,https://www.viator.com/Johannesburg-attractions/Sun-City/d314-a1660,Middle_East_Africa
Aswan High Dam,https://www.viator.com/Aswan-attractions/Aswan-High-Dam/d796-a1569,Middle_East_Africa
Victoria and Alfred Waterfront (V&A Waterfront),https://www.viator.com/Cape-Town-attractions/Victoria-and-Alfred-Waterfront/d318-a6145,Middle_East_Africa
Ferrari World Abu Dhabi,https://www.viator.com/Abu-Dhabi-attractions/Ferrari-World-Abu-Dhabi/d4474-a9667,Middle_East_Africa
Caves of Hercules,https://www.viator.com/Tangier-attractions/Caves-of-Hercules/d4388-a21370,Middle_East_Africa
Cape Point,https://www.viator.com/Cape-Town-attractions/Cape-Point/d318-a17879,Middle_East_Africa
Kasbah of Aït Ben Haddou (Ksar of Ait Benhaddou),https://www.viator.com/Central-Morocco-attractions/Kasbah-of-Ait-Ben-Haddou/d5407-a11953,Middle_East_Africa
Jumeirah Beach,https://www.viator.com/Dubai-attractions/Jumeirah-Beach/d828-a18832,Middle_East_Africa
Kom Ombo Temple,https://www.viator.com/Aswan-attractions/Kom-Ombo-Temple/d796-a1577,Middle_East_Africa
Dubai Creek,https://www.viator.com/Dubai-attractions/Dubai-Creek/d828-a1617,Middle_East_Africa
Red Sea,https://www.viator.com/Egypt-attractions/Red-Sea/d722-a1869,Middle_East_Africa
Abu Dhabi Corniche,https://www.viator.com/Abu-Dhabi-attractions/Abu-Dhabi-Corniche/d4474-a9644,Middle_East_Africa
Wadi Rum,https://www.viator.com/Amman-attractions/Wadi-Rum/d5503-a2705,Middle_East_Africa
Masai Mara National Reserve (Maasai Mara National Park),https://www.viator.com/Kenya-attractions/Masai-Mara-National-Reserve-Maasai-Mara-National-Park/d801-a2806,Middle_East_Africa
Dubai Aquarium and Underwater Zoo,https://www.viator.com/Dubai-attractions/Dubai-Aquarium-and-Underwater-Zoo/d828-a20803,Middle_East_Africa
Louvre Abu Dhabi,https://www.viator.com/Abu-Dhabi-attractions/Louvre-Abu-Dhabi/d4474-a26864,Middle_East_Africa
Aquaventure Waterpark,https://www.viator.com/Dubai-attractions/Aquaventure-Waterpark/d828-a15450,Middle_East_Africa
Dubai Spice Souk,https://www.viator.com/Dubai-attractions/Dubai-Spice-Souk/d828-a11947,Middle_East_Africa
Soweto,https://www.viator.com/Johannesburg-attractions/Soweto/d314-a1659,Middle_East_Africa
Ourika Valley (Vallée de l’Ourika),https://www.viator.com/Marrakech-attractions/Ourika-Valley/d5408-a9750,Middle_East_Africa
Ain Dubai,https://www.viator.com/Dubai-attractions/Ain-Dubai/d828-a94495,Middle_East_Africa
Tsitsikamma National Park,https://www.viator.com/Garden-Route-attractions/Tsitsikamma-National-Park/d5613-a17271,Middle_East_Africa
Jumeirah Mosque,https://www.viator.com/Dubai-attractions/Jumeirah-Mosque/d828-a1619,Middle_East_Africa
The Dubai Fountain,https://www.viator.com/Dubai-attractions/The-Dubai-Fountain/d828-a11919,Middle_East_Africa
Gold Reef City,https://www.viator.com/Johannesburg-attractions/Gold-Reef-City/d314-a1652,Middle_East_Africa
Jemaa el-Fna (Djemaa el-Fna),https://www.viator.com/Marrakech-attractions/Jemaa-el-Fna/d5408-a1968,Middle_East_Africa
